adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PAS RASPAIL,31/01/2024,201000.0,78210,SAINT-CYR-L ECOLE,50.0,0.0,2.0,545,Appartement,4020.0,1 PAS RASPAIL 78210 SAINT-CYR-L ECOLE,2.070605,48.799399,0.8284868514412416
1 PAS RAUCH,19/06/2024,904300.0,75011,PARIS,82.0,0.0,2.0,111,Appartement,11028.048780487805,1 PAS RAUCH 75011 PARIS,2.378635,48.85397,0.7659252525252525
1 PAS SAINT FERDINAND,02/08/2024,351500.0,92200,NEUILLY-SUR-SEINE,29.0,0.0,1.0,51,Appartement,12120.689655172413,1 PAS SAINT FERDINAND 92200 NEUILLY-SUR-SEINE,2.261229,48.882385,0.8527163821892392
1 PAS SAINT SEBASTIEN,05/07/2024,230000.0,75011,PARIS,23.0,0.0,2.0,111,Appartement,10000.0,1 PAS SAINT SEBASTIEN 75011 PARIS,2.368659,48.861537,0.8270716707616708
1 PAS SAINT SEBASTIEN,12/07/2024,219000.0,75011,PARIS,21.0,0.0,1.0,111,Appartement,10428.57142857143,1 PAS SAINT SEBASTIEN 75011 PARIS,2.368659,48.861537,0.8270716707616708
1 PAS SAINT SEBASTIEN,27/05/2024,289560.0,75011,PARIS,30.0,0.0,1.0,111,Appartement,9652.0,1 PAS SAINT SEBASTIEN 75011 PARIS,2.368659,48.861537,0.8270716707616708
1 PAS VIALLET,22/11/2024,176600.0,75011,PARIS,18.0,0.0,1.0,111,Appartement,9811.111111111111,1 PAS VIALLET 75011 PARIS,2.381373,48.856524,0.779322225705329
1 PASS ALEXANDRE MORET,17/06/2024,322000.0,77600,BUSSY-SAINT-GEORGES,65.0,0.0,3.0,58,Appartement,4953.846153846154,1 PASS ALEXANDRE MORET 77600 BUSSY-SAINT-GEORGES,2.708734,48.836871,0.868553440285205
1 PASS ALEXANDRE MORET,22/01/2024,200900.0,77600,BUSSY-SAINT-GEORGES,31.0,0.0,1.0,58,Appartement,6480.645161290323,1 PASS ALEXANDRE MORET 77600 BUSSY-SAINT-GEORGES,2.708734,48.836871,0.868553440285205
1 PL ALPHONSE REAULT,31/07/2024,377000.0,91310,LEUVILLE-SUR-ORGE,260.0,343.0,7.0,333,Maison,1450.0,1 PL ALPHONSE REAULT 91310 LEUVILLE-SUR-ORGE,2.26777,48.618425,0.8542700193423597
